personID,personRollup1,personRollup2,personRollup3,personBusinessTitleDetail,personJobCode,personCompany,personJobFamily
33706,33347,33265,33502,8,33268,33290,33270
33709,2,3,4,8,33309,33296,33712
33713,2,33265,4,8,33268,33296,33270
33715,2,3,4,8,33275,33313,11
33716,33283,33265,33285,8,33268,33290,33270
33719,33426,33675,33428,8,33289,33290,33678
33721,2,3,4,8,33431,33455,11
33724,2,33265,4,8,33268,33296,33270
33726,2,33265,4,8,33268,33269,33270
33728,2,33730,4,8,9,33290,33430
33732,2,3,4,8,33275,33313,11
33733,2,33265,4,8,33268,33296,33270
33736,33283,33284,33285,8,33289,33290,33739
33740,2,33265,4,8,33268,10,33270
33742,2,3,4,8,33309,33455,11
33744,2,3,4,8,33275,33296,11
33746,33416,33748,33418,33751,9,33752,11
33753,2,33265,4,8,33268,33313,33270
33755,2,3,4,8,33275,33296,11
33756,2,3,4,8,33275,33313,11
33758,2,3,4,8,33345,33455,11
33761,33416,33529,33418,8,9,33290,33430
33763,2,3,4,8,33289,33313,33712
33766,2,33768,4,8,33289,33290,33347
33771,2,33265,4,8,33268,33269,33270
33773,33283,33323,33285,33777,33431,33290,33291
33778,33521,33544,33523,8,33268,33290,33270
33781,2,33265,4,8,33268,33269,33270
33783,2,33265,4,8,33268,33313,33270
33784,2,33265,4,8,33268,33313,33270
33785,33426,33675,33428,8,33289,33290,33678
33788,33299,33790,33301,8,33431,33290,33604
33793,33283,33447,33285,8,33431,33290,600
33796,33283,33447,33285,8,33431,33290,33430
33800,2,3,4,8,33309,33269,11
33802,2,33265,4,8,33268,33276,33270
33804,33521,33544,33523,8,33268,33290,33270
33805,2,33265,4,8,33268,33269,33270
33806,2,33265,4,8,33268,33455,33270
33808,33521,33544,33523,8,33268,33290,33270
33810,33299,33601,33301,8,9,33290,33430
33813,2,33265,4,8,33268,33296,33270
33815,2,3,4,8,33309,33313,11
33818,2,3,4,8,33275,33313,11
33820,2,3,4,8,33309,33439,11
33824,2,3,4,8,33275,33313,11
33826,33416,33689,33418,8,33345,33422,33430
33830,33416,33529,33418,8,9,33422,33833
33834,2,3,4,8,33309,33313,11
33836,2,3,4,8,33275,33276,11
33838,33299,33395,33301,8,33268,33290,33270
33841,33283,33323,33285,8,33431,33844,33604
33845,2,33265,4,8,33268,10,33270
33847,2,3,4,8,33275,33313,11
33849,2,33265,4,8,33268,33296,33270
33851,33426,33853,33428,8,33431,33844,33833
33856,2,33265,4,8,33268,33296,33270
33857,2,33265,4,8,33268,33269,33270
33859,33299,33395,33301,8,9,33290,33863
33864,33299,33866,33301,8,9,33290,33430
33868,2,33265,4,8,33268,33290,33270
33871,2,3,4,8,33275,33455,11
33872,2,3,4,8,33275,33570,11
33874,2,3,4,8,33275,33313,11
33875,2,3,4,8,33275,10,11
33877,2,3,4,8,33275,33296,11
33879,2,3,4,8,33275,33269,11
33880,2,33265,4,8,33268,33455,33270
33882,33283,33447,33285,8,33289,33290,33430
33884,33283,33885,33285,8,33275,33330,11
33886,2,33265,4,8,33268,33296,33270
33888,2,3,4,8,33275,33313,11
33889,2,33265,4,8,33268,33296,33270
33891,2,33265,4,8,33268,33455,33270
33893,33339,33895,33341,8,33326,33346,33430
33897,2,33265,4,8,33268,33269,33270
33898,2,3,4,8,33275,33313,11
33900,2,33730,4,8,33431,33904,33905
33906,2,3,4,8,33275,33455,11
33908,2,33265,4,8,33268,33455,33270
33910,2,33265,4,8,33268,33296,33270
33912,2,3,4,8,33275,33276,11
33914,33416,33689,33418,8,9,33290,33430
33917,2,33265,4,8,33268,33269,33270
33920,2,3,4,8,33275,33455,11
33921,2,33265,4,8,33268,33313,33270
33923,2,33265,4,8,33268,33313,33270
33925,33426,33927,33428,8,33309,33844,33930
33931,2,33365,4,8,33309,33369,33370
33934,33283,33447,33285,8,9,33290,33430
33937,2,3,4,8,33275,33313,11
33938,2,33265,4,8,33268,33455,33270
33940,2,33265,4,8,33268,33269,33270
33941,2,3,4,8,33275,33455,11
33942,2,3,4,8,9,33296,11
33945,33426,33621,33428,8,9,33290,33430
33948,33521,33544,33523,8,33268,33290,33270
33949,2,33265,4,8,33268,33313,33270
33952,2,33265,4,8,33268,10,33270
33953,2,3,4,8,33275,33455,11
33955,2,3,4,8,33275,33276,11
33957,2,33265,4,8,33268,33313,33270
33958,2,33265,4,8,33268,33455,33270
33960,2,33265,4,8,33268,33313,33270
33962,2,33265,4,8,33268,33296,33270
33964,2,33365,4,8,33368,33408,33968
33969,2,3,4,8,33275,33296,11
33971,2,33265,4,8,33268,33296,33270
33973,33283,33975,33285,8,33309,33976,11
33978,2,3,4,8,33275,33313,11
33980,2,33265,4,8,33268,33296,33270
33982,2,33265,4,8,33268,33276,33270
33983,2,33265,4,8,33268,33269,33270
33984,33299,33395,33301,8,9,33290,33430
33986,33283,33447,33285,8,9,33290,33430
33989,33283,33666,33285,33751,9,33290,33291
33992,33416,33689,33418,8,33431,33290,33604
33994,2,3,4,8,33289,33313,33712
33997,33426,33427,33428,8,9,33290,33430
34000,2,33365,4,8,33368,33408,33370
34002,2,33365,4,34005,33368,33408,33370
34006,2,33265,4,8,33268,33296,33270
34007,2,33265,4,8,33268,33269,33270
34008,2,3,4,8,33275,33296,11
34010,33521,34012,33523,8,33289,33904,33526
34014,2,33730,4,8,33431,33290,33604
34017,2,33265,4,8,33268,33296,33270
34019,2,33265,4,8,33268,33269,33270
34022,33316,34024,33317,8,33431,33290,33863
34027,2,33365,4,34005,33309,33408,33370
34029,2,3,4,8,33309,33313,11
34031,33339,33895,33341,33344,33431,33346,33430
34033,2,3,4,8,33275,33455,11
34034,2,33265,4,8,33268,33296,33270
34035,2,33265,4,8,33268,33313,33270
34037,2,3,4,8,33275,33296,11
34039,33426,33675,33428,8,33309,33290,33678
34042,33521,33544,33523,8,33268,33290,33270
34044,34046,34047,34048,8,33431,33290,34046
34050,2,33265,4,8,33268,33296,33270
34052,2,33365,4,8,33368,33369,33370
34055,2,3,4,8,33275,33570,11
34057,33357,33458,33359,8,33289,33290,33430
34059,2,3,4,8,33309,10,11
34061,2,33365,4,8,33431,33904,33430
34065,2,3,4,8,33275,10,11
34068,33299,33601,33301,8,33289,33290,33430
34070,2,33265,4,8,33268,33455,33270
34071,2,33265,4,8,33268,33269,33270
34073,2,3,4,8,33275,33296,11
34075,2,33365,4,8,33368,33369,33370
34078,33521,33544,33523,8,33268,33290,33270
34081,33521,33544,33523,8,33268,33290,33270
34083,2,3,4,8,33275,33313,11
34085,2,33365,4,8,33309,33408,33370
34086,33283,33284,33285,8,9,33290,33423
34090,2,33265,4,8,33268,33269,33270
34092,33521,33544,33523,8,33268,33290,33270
34093,2,3,4,8,33275,33455,11
34094,2,3,4,8,33309,33455,11
34097,2,33365,4,8,33368,33369,33370
34099,2,3,4,8,33275,33455,11
34100,33299,33790,33301,8,9,33290,33430
34103,2,33265,4,8,33268,33313,33270
34105,33357,33458,33359,8,9,33290,33430
34107,33357,33458,33359,8,33289,33290,33430
34109,2,33768,4,8,33289,33296,33347
34112,2,33265,4,8,33268,33313,33270
34113,2,3,4,8,33275,33455,11
34115,2,33265,4,8,33268,33313,33270
34117,2,33265,4,8,33268,33330,33270
34118,2,3,4,8,33275,33276,11
34120,2,33265,4,8,33268,33313,33270
34122,2,3,4,8,33275,10,11
34123,2,3,4,8,33275,33276,11
34125,2,33265,4,8,33268,33313,33270
34127,2,33265,4,8,33268,33296,33270
34129,33283,33265,33285,8,33268,33290,33270
34132,33416,33476,33418,8,33289,33290,33430
34135,2,33265,4,8,33268,33296,33270
34136,33299,33395,33301,8,33289,33290,33430
34139,2,3,4,8,33275,33313,11
34140,33521,33544,33523,8,33268,33290,33270
34142,2,3,4,8,33275,33296,11
34144,2,3,4,8,33275,33269,11
34146,33283,33885,33285,8,33275,33330,11
34147,2,3,4,8,33275,33276,11
34149,2,33265,4,8,33268,33439,33270
34151,33283,33323,33285,8,9,33290,33291
34153,33357,33265,33359,8,33268,33290,33270
34155,33416,33614,33418,8,9,33617,33618
34158,2,3,4,8,33275,33313,11
34159,2,3,4,8,33275,33455,11
34161,33357,33458,33359,8,33431,33290,33863
34165,2,3,4,8,33275,33313,11
34167,2,3,4,8,33275,33313,11
34169,33416,33614,33418,8,9,33617,33618
34173,2,33265,4,8,33268,33296,33270
34175,2,3,4,8,33275,33313,11
34176,33316,33385,33317,8,33289,33320,33389
34179,2,34181,4,8,33326,33290,33430
34184,33521,33544,33523,8,33268,33290,33270
34185,33521,33544,33523,8,33268,33290,33270
34186,2,3,4,8,33275,33269,11
34188,2,3,4,8,33275,33276,11
34190,33521,33544,33523,8,33268,33290,33270
34191,33283,34193,33285,8,33275,33504,11
34195,2,3,4,8,33275,33296,11
34197,33521,33544,33523,8,33268,33290,33270
34198,2,33730,4,8,9,33455,33657
34202,2,33265,4,8,33268,33296,33270
34204,2,3,4,8,33275,33455,11
34205,33416,34207,33418,8,33275,34210,11
34211,2,33265,4,8,33268,33269,33270
34213,2,33265,4,8,33268,33269,33270
34216,2,3,4,8,33275,33269,11
34217,33283,33323,33285,8,33431,33290,33291
34220,33416,34207,33418,8,33289,34210,33968
34224,33316,33265,33317,8,33268,33320,33270
34227,33299,33601,33301,8,33289,33290,33430
34228,2,3,4,8,33275,33313,11
34229,2,3,4,8,33275,33296,11
34231,2,3,4,8,33275,33269,11
34232,2,33265,4,8,33268,33269,33270
34235,2,33265,4,8,33268,33296,33270
34236,2,33365,4,8,33368,33369,33370
34237,2,33265,4,8,33268,33296,33270
34238,33416,33748,33418,8,33345,33752,34242
34243,2,3,4,8,33275,33269,11
34244,2,3,4,8,33289,33276,33403
34247,2,3,4,8,33275,33269,11
34249,2,33730,4,8,9,33290,33430
34252,33521,33544,33523,8,33268,33290,33270
34254,33316,34256,33317,8,9,33388,33430
34259,2,3,4,8,33275,33313,11
34262,2,33265,4,8,33268,10,33270
34264,2,3,4,8,33275,33570,11
34266,2,3,4,8,33275,33313,11
34267,2,3,4,8,33275,33313,11
34270,33283,33885,33285,8,9,33290,33461
34273,33283,33265,33285,8,33268,33290,33270
34275,2,3,4,8,33275,33296,11
34277,33416,34279,33418,8,33289,33290,33430
34281,2,33365,4,8,33368,33408,33370
34284,2,3,4,8,33309,33276,11
34287,2,3,4,8,9,33313,11
34289,2,3,4,8,33275,33313,11
34290,2,33265,4,8,33268,33276,33270
34292,2,33265,4,8,33268,33269,33270
34293,2,3,4,8,33275,33313,11
34295,33416,33265,33418,8,33268,34210,33270
34297,2,33265,4,8,33268,33313,33270
34299,2,33265,4,8,33268,33313,33270
34302,2,33265,4,8,33268,33269,33270
34304,2,3,4,8,33309,33313,11
34306,2,33265,4,8,33268,33296,33270
34308,33316,33265,33317,8,33268,33290,33270
34311,2,33265,4,8,33268,33269,33270
34312,2,3,4,8,33275,33570,11
34313,2,3,4,8,33275,33296,11
34315,33316,33385,33317,8,9,33320,33389
34316,33426,33675,33428,33777,33289,33290,33678
34317,33521,33265,33523,8,33268,33290,33270
34320,2,3,4,8,33275,33276,11
34322,2,3,4,8,33275,33296,11
34323,2,3,4,8,33275,33296,11
34325,33316,34327,33317,8,33289,33290,33678
34329,2,33265,4,8,33268,33269,33270
34331,33283,33975,33285,8,33289,33976,600
34334,2,3,4,8,33309,33455,11
34335,2,3,4,8,33275,33313,11
34337,2,3,4,8,33275,33455,11
34339,2,3,4,8,33275,33276,11
34340,2,3,4,8,33275,33313,11
34342,2,3,4,8,33275,33313,11
34344,2,3,4,8,33275,33313,11
34345,33316,34347,33317,8,33289,33290,33430
34348,2,3,4,8,33275,33313,11
34351,33316,34024,33317,8,9,33290,33430
34354,2,33365,4,8,33309,33408,33370
34356,33416,33689,33418,8,33431,33290,33604
34359,2,3,4,8,33275,33313,11
34361,33316,33265,33317,8,33268,33290,33270
34364,2,33265,4,8,33268,33296,33270
34365,33316,33265,33317,8,33268,33320,33270
34367,2,33265,4,8,33268,33296,33270
34368,2,3,4,8,33275,33269,11
34370,2,3,4,8,33275,33570,11
34372,2,33265,4,8,33268,33269,33270
34374,2,3,4,8,33275,33269,11
34375,2,33265,4,8,33268,10,33270
34377,2,3,4,8,33289,33296,33712
34379,33283,33584,33285,34383,33431,33290,33291
34384,2,33265,4,8,33268,33455,33270
34386,2,33730,4,8,9,33290,33430
34388,2,3,4,8,33309,33269,11
34391,33521,33544,33523,8,33268,33290,33270
34392,2,33265,4,8,33268,33276,33270
34395,33299,34397,33301,8,33289,33290,33430
34399,2,33265,4,8,33268,33296,33270
34401,33283,33975,33285,8,33368,33976,33370
34404,2,33265,4,8,33268,33296,33270
34406,33283,33265,33285,8,33268,33422,33270
34409,33283,34411,33285,8,33326,33290,33291
34414,2,33768,4,8,9,33290,33347
34417,2,3,4,8,33275,33313,11
34418,2,3,4,8,33275,33276,11
34420,2,3,4,8,33275,33296,11
34421,2,3,4,8,33275,33313,11
34422,2,3,4,8,33275,33276,11
34423,2,33365,4,8,33368,33408,33370
34426,2,33265,4,8,33268,33313,33270
34427,2,33365,4,8,33368,33369,33370
34429,2,33265,4,8,33268,33313,33270
34430,33283,34432,33285,8,33431,33290,34435
34436,2,3,4,8,33275,33570,11
34438,2,33265,4,8,33268,10,33270
34440,2,3,4,8,33275,33269,11
34441,2,33265,4,8,33268,33313,33270
34443,33283,33284,33285,8,33289,33290,33291
34446,2,3,4,8,33275,33269,11
34448,2,3,4,8,33275,33269,11
34450,2,33730,4,8,33431,33904,33430
34452,2,3,4,8,33275,33570,11
34454,2,33265,4,8,33268,33269,33270
34456,2,33265,4,8,33268,33296,33270
34459,2,33265,4,8,33268,33269,33270
34461,2,3,4,8,33309,33296,11
34463,33283,34432,33285,8,9,33290,33430
34466,2,33265,4,8,33268,33313,33270
34468,2,33265,4,8,33268,33269,33270
34469,33299,34471,33301,8,33326,34474,33461
34475,33521,33544,33523,8,33268,33290,33270
34477,2,3,4,8,33275,33296,11
34478,33316,34024,33317,8,33289,33290,33430
34481,33283,34411,33285,8,33289,33290,33430
34484,2,33265,4,8,33268,33269,33270
34486,2,33265,4,8,33268,33269,33270
34488,33283,34490,33285,8,33270,34493,33587
34494,33416,34279,33418,8,33431,33290,33430
34497,2,33265,4,8,33268,33296,33270
34499,2,33265,4,8,33268,33296,33270
34500,2,33265,4,8,33268,33269,33270
34501,2,33265,4,8,33268,33296,33270
34503,2,3,4,8,33309,33269,11
34506,2,3,4,8,33275,33313,11
34508,2,33265,4,8,33268,33269,33270
34510,2,33265,4,8,33268,33313,33270
34513,33416,33614,33418,8,9,33617,33618
34515,2,33265,4,8,33268,33313,33270
34518,2,3,4,8,33275,33276,11
34519,2,33265,4,8,33268,33296,33270
34521,33521,33544,33523,8,33268,33290,33270
34524,2,3,4,8,33275,33296,11
34525,2,3,4,8,33275,10,11
34526,2,3,4,8,33275,33296,11
34527,2,33265,4,8,33268,33290,33270
34529,2,3,4,8,33275,33313,11
34530,33283,33666,33285,8,33431,33290,33461
34533,33283,33265,33285,8,33268,33290,33270
34537,33299,33395,33301,8,9,33290,34539
34540,33416,34542,33418,8,33289,33422,34545
34546,33339,33895,33341,33344,33345,33346,33430
34549,2,3,4,8,33275,33313,11
34550,33283,33447,33285,8,33289,33313,34553
34554,33316,34024,33317,8,9,33388,33430
34558,33299,33395,33301,8,33431,33290,33430
34561,2,3,4,8,33275,33570,11
34563,2,33265,4,8,33268,33296,33270
34564,33339,34566,33341,8,33289,33290,34569
34570,33283,34572,33285,34575,34576,33290,34577
34578,33316,33265,33317,8,33268,33290,33270
34580,33426,33675,33428,8,33309,33290,33678
34582,33283,33975,33285,8,9,33976,33595
34586,2,33265,4,8,33268,33455,33270
34587,2,3,4,8,33275,33296,11
34589,2,3,4,8,33275,33296,11
34590,2,33265,4,8,33268,33296,33270
34592,2,3,4,8,33275,33269,11
34593,2,33265,4,8,33268,33296,33270
34594,2,3,4,8,33275,33296,11
34595,33347,33265,33502,8,33268,33422,33270
34599,2,3,4,8,33275,33313,11
34601,2,33265,4,8,33268,33296,33270
34602,33416,33265,33418,8,33268,33290,33270
34604,2,3,4,8,33275,33269,11
34605,2,3,4,8,33275,33313,11
34607,2,3,4,8,33275,33269,11
34608,2,34610,4,8,34576,33904,34613
34614,2,3,4,8,33275,33296,11
34615,2,3,4,8,33275,33455,11
34617,2,3,4,8,33275,33313,11
34619,2,33265,4,8,33268,33296,33270
34620,2,3,4,8,33309,33439,11
34622,2,3,4,8,33289,33296,11
34623,2,33265,4,8,33268,33455,33270
34624,2,3,4,8,33275,33276,11
34625,2,3,4,8,33275,33269,11
34626,33521,33544,33523,8,33268,33290,33270
34628,2,33265,4,8,33268,33439,33270
34630,2,33265,4,8,33268,33269,33270
34632,2,3,4,8,33289,10,33712
34635,2,3,4,8,33275,33455,11
34636,2,3,4,8,33275,33313,11
34638,33416,33689,33418,8,33268,33617,33270
34641,2,33265,4,8,33268,33455,33270
34642,2,33265,4,8,33268,33439,33270
34645,2,33768,4,8,9,33290,33347
34648,2,3,4,8,33309,33296,11
34651,2,33265,4,8,33268,33296,33270
34654,33316,33385,33317,8,9,33290,33595
34657,2,33365,4,8,33368,33408,33370
34660,33283,33265,33285,8,33268,33290,33270
34663,33283,34411,33285,34665,9,33290,33430
34666,2,33365,4,8,33309,33408,33370
34669,2,33365,4,8,33309,33369,33370
34671,33316,34256,33317,8,33309,33408,33370
34675,33521,33544,33523,8,33268,33290,33270
34678,2,3,4,8,33275,33296,11
34680,2,33265,4,8,33268,33313,33270
34681,2,33265,4,8,33268,33296,33270
34683,2,3,4,8,33309,33296,11
34685,2,33265,4,8,33268,33296,33270
34686,2,33265,4,8,33268,33276,33270
34687,33521,33544,33523,8,33268,33290,33270
34689,2,3,4,8,33275,33455,11
34691,2,33265,4,8,33268,33269,33270
34694,2,3,4,8,33275,33276,11
34695,33521,33544,33523,8,33268,33290,33270
34696,33416,33265,33418,8,33268,34210,33270
34699,2,3,4,8,33275,33296,11
34700,33426,33427,33428,8,9,33290,33430
34702,2,3,4,8,33275,33313,11
34704,33283,33323,33285,8,9,33290,33430
34707,2,3,4,8,33275,33269,11
34708,2,33265,4,8,33268,33455,33270
34709,2,3,4,8,33275,33313,11
34710,33521,33544,33523,8,33268,33290,33270
34712,33316,33265,33317,8,33268,33320,33270
34713,33416,34542,33418,8,33431,33422,34717
34718,2,3,4,8,33275,33313,11
34720,2,33265,4,8,33268,33269,33270
34721,33426,33427,33428,8,9,33290,33430
34723,2,3,4,8,33275,10,11
34724,2,33265,4,8,33268,33313,33270
34725,2,3,4,8,33309,33313,11
34728,2,3,4,8,33275,33455,11
34730,2,3,4,8,33275,33269,11
34731,2,3,4,8,33275,33276,11
34732,2,33265,4,8,33268,33269,33270
34733,2,3,4,8,33309,33296,11
34734,2,3,4,8,33275,33313,11
34735,2,33265,4,8,33268,33296,33270
34736,2,33265,4,8,33268,33313,33270
34738,33316,34024,33317,8,9,33388,33430
34739,33316,33265,33317,8,33268,33313,33270
34741,2,33265,4,8,33268,33296,33270
34744,2,3,4,8,33289,33313,33403
34746,2,3,4,8,33275,33276,11
34747,2,33365,4,8,33368,33408,33370
34749,2,33265,4,8,33268,33276,33270
34750,33299,34471,33301,8,9,33290,33430
34753,2,33265,4,8,33268,33269,33270
34754,2,3,4,8,33275,33439,11
34756,2,33265,4,8,33268,33296,33270
34757,2,33365,4,8,33368,33408,33370
34760,2,3,4,8,33275,33276,11
34761,2,33265,4,8,33268,33439,33270
34762,2,3,4,8,33275,33313,11
34764,2,33265,4,8,33268,33313,33270
34765,2,3,4,8,33275,33276,11
34767,33283,33885,33285,8,33275,33330,11
34768,2,33265,4,8,33268,33269,33270
34769,33521,33544,33523,8,33268,33290,33270
34771,2,33265,4,8,33268,33313,33270
34773,33299,33790,33301,8,33289,33290,33430
34774,33416,33529,33418,8,9,33422,33863
34777,33283,33666,33285,8,9,33290,34780
34781,2,3,4,8,33275,33313,11
34783,2,3,4,8,33275,33570,11
34785,33521,34787,33523,8,33289,33290,33526
34789,2,3,4,8,33275,33313,11
34791,33299,33601,33301,8,33431,33290,33430
34795,2,3,4,8,33309,33313,11
34797,33299,34471,33301,8,9,33290,33430
34800,2,3,4,8,33275,33276,11
34801,33416,33614,33418,8,9,33617,33618
34804,2,33265,4,8,33268,33439,33270
34807,2,33265,4,8,33268,33313,33270
34810,33299,33790,33301,8,33289,33290,33450
34813,2,3,4,8,33275,33296,11
34814,2,33265,4,8,33268,33269,33270
34815,2,33265,4,8,33268,33269,33270
34816,2,33265,4,8,33268,10,33270
34817,2,3,4,8,33275,33296,11
34818,2,3,4,8,33275,33269,11
34819,2,33768,4,8,33289,33290,33347
34822,2,33265,4,8,33268,33269,33270
34824,33316,33385,33317,8,9,33290,33423
34828,2,3,4,8,33309,33313,11
34830,2,33265,4,8,33268,33296,33270
34831,2,3,4,8,33275,33439,11
34833,2,33365,4,8,33368,33369,33370
34835,2,33365,4,8,33368,33369,33370
34837,2,33265,4,8,33268,33296,33270
34838,2,3,4,8,33275,33313,11
34840,33299,34397,33301,8,9,33290,33430
34843,2,3,4,8,33275,33276,11
34844,2,3,4,8,33275,33296,11
34845,33521,33544,33523,8,33268,33290,33270
34848,33299,33300,33301,8,9,33290,34851
34852,33521,33544,33523,8,33268,33290,33270
34853,2,33265,4,8,33268,33269,33270
34854,33521,34856,33523,8,9,33290,34539
34859,33521,34861,33523,8,33431,33290,33526
34864,2,3,4,8,33275,10,11
34866,2,3,4,8,33275,33455,11
34868,2,3,4,8,33275,33455,11
34870,2,3,4,8,33309,33313,33403
34873,2,33265,4,8,33268,33455,33270
34876,2,3,4,8,33275,33455,11
34878,33416,33529,33418,8,33431,33290,33430
34880,2,33265,4,8,33268,33313,33270
34881,2,33365,4,8,33309,33408,33370
34884,33283,33975,33285,8,33289,33976,11
34886,2,33265,4,8,33268,33455,33270
34888,2,33365,4,8,33368,33369,33370
34889,33299,33790,33301,8,33289,33290,33430
34892,2,33265,4,8,33268,33313,33270
34894,2,34012,4,8,33309,10,33526
34897,2,3,4,8,33275,33313,11
34898,33316,34256,33317,8,9,33388,33712
34902,33521,33544,33523,8,33268,33290,33270
34904,2,33365,4,8,33368,33408,33370
34906,2,3,4,8,33275,33313,11
34908,33283,33284,33285,34912,9,34913,33461
34914,2,33265,4,8,33268,33313,33270
34915,2,3,4,8,33431,33296,11
34919,2,3,4,8,33275,33313,11
34921,2,3,4,8,33275,33313,11
34922,2,33265,4,8,33268,33269,33270
34923,2,33265,4,8,33268,33296,33270
34924,33416,33689,33418,8,33268,33617,33270
